Organization,Country,SDG Goal,SDG Question,Answer Options,SDG Goal ID,SDG Ques ID,Industry,Filtered Content,URL,Page number,Document Type,Publication Date,Last updated Date
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Health Care And Social Assistance,,,,,,
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Health Care And Social Assistance,,,,,,
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Health Care And Social Assistance,,,,,,
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Health Care And Social Assistance,,,,,,
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all","In your organization, what percentage of annual energy usage is derived from renewable energy (clean fuels and technology)?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S002,Q002,Health Care And Social Assistance,,,,,,
ActewAGL (iconwater),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Electricity Gas Water And Waste Services,"[Page 47] Percentage 38% 30%   Waste to landfill16 | [Page 47] Tonnes 4.85 2.16 125% Paper and cardboard recycled (incl. | [Page 46] We continued our focus on resource  recovery of our waste streams and  recycled more than 80 per cent  of our operational waste during  2023–24, including:  	 Concrete manholes, culverts  and pipes gathered during  excavation works by our field  services team were sorted and  crushed to make around 850  tonnes of reusable aggregate  which we are using internally  as laydown area material,  stabilisation fill and drainage  material. | [Page 7] We continued  our focus on resource recovery and  recycled more than 80 per cent of  our operational waste. | [Page 47] Tonnes 2214 2601 -15% Co-mingled material recycled17",https://www.iconwater.com.au/sites/default/files/2024-12/Icon%20Water%20Annual%20Report%202023-24_0.pdf,47 | 21 | 7 | 46,PDF,2024.0,2025-06-05T01:25:22.457823
ActewAGL (iconwater),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Electricity Gas Water And Waste Services,"[Page 72] This is articulated through our  Sustainability and Environment  Policy, underpinned by our certified  Environmental Management System.",https://www.iconwater.com.au/sites/default/files/2024-12/Icon%20Water%20Annual%20Report%202023-24_0.pdf,72,PDF,2024.0,2025-06-05T01:25:22.457823
ActewAGL (iconwater),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Electricity Gas Water And Waste Services,"[Page 197] Signed for and on behalf of, and in accordance with a resolution of, the Board of directors. | [Page 32] We have progressed our objectives  and actions identified by the People,  Health and Safety Strategy 2022–23  to 2023–24 (PHS Strategy) and the  continuous improvement to our AS/ NZS ISO45001 certified Health and  Safety Management System.",https://www.iconwater.com.au/sites/default/files/2024-12/Icon%20Water%20Annual%20Report%202023-24_0.pdf,32 | 197,PDF,2024.0,2025-06-05T01:25:22.457823
ActewAGL (iconwater),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Electricity Gas Water And Waste Services,"[Page 29] Table 6: Workforce gender composition by occupation Female Male Total Manager (Branch Manager and above) 3% 4% 7% Non-Manager (Team Leader and below) 25% 68% 93% Table 7: Gender profile of employment-related activities Female Male Recruitment: candidates	 27% 67%8 | [Page 31] Table 10: Staff by classification and gender Number Percentage Female Male Total Female Male Executives 3 4 7 43% 57% Manager Service Agreement – Fixed Annual Remuneration 4 5 9 44% 56% Non-Manager Legacy Agreement 0 1 1 0% 100% Level 1 | [Page 28] STAFF MEMBERS (FTE) 29% FEMALE 71% MALE 18-29 | [Page 19] Gender diversity Improved proportion of females in  non‑traditional roles3 	 50% females in the leadership roles 49% 	 >10% females in competency-based roles4 4% 	 >25% females in STEM roles3 27%  Target met   Target not met but within tolerance   Target not met 17 17 | [Page 26] Performance indicator targets  are in place for gender equality,  including the percentage of women  in leadership roles, as well as roles  that have traditionally had low rates  of female participation such as those  in the fields of science, technology,  engineering and mathematics  (STEM) as well as trade and  competency-based roles.",https://www.iconwater.com.au/sites/default/files/2024-12/Icon%20Water%20Annual%20Report%202023-24_0.pdf,28 | 26 | 31 | 29 | 19,PDF,2024.0,2025-06-05T01:25:22.457823
ActewAGL (iconwater),AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all","In your organization, what percentage of annual energy usage is derived from renewable energy (clean fuels and technology)?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S002,Q002,Electricity Gas Water And Waste Services,"[Page 47] Tonnes CO2-e 18,407 17,997 2%  Additional table notes: 	- Electricity use includes onsite renewable energy. | [Page 207] This strategy places a strong emphasis on the energy sector to effectively reduce  emissions that come directly from electricity and gas assets and develop renewable energy opportunities in  the short to medium term. | [Page 175] This strategy places a strong emphasis on the energy sector to effectively reduce  emissions that come directly from electricity and gas assets and develop renewable energy opportunities in the  short to medium term. | [Page 110] This strategy places a strong emphasis  on the energy sector to effectively reduce emissions that come directly from electricity and gas assets and  develop renewable energy opportunities. | [Page 45] Our renewable energy systems  (solar photovoltaic arrays and mini- hydros) provided three per cent of  all electricity used on our sites. | [Page 159] Her experience in energy  includes membership of the Council of Australian  Governments (COAG) Energy Senior Officials and  oversight of significant policy initiatives and  investment in renewables which led to the ACT  sourcing 100% of its electricity from renewables.",https://www.iconwater.com.au/sites/default/files/2024-12/Icon%20Water%20Annual%20Report%202023-24_0.pdf,47 | 175 | 45 | 207 | 110 | 159,PDF,2024.0,2025-06-05T01:25:22.457823
Anglo American Australia (angloamerican),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Mining,"[Page 90] Our Group-wide dashboard for non-mineral waste enhances  our ability to track and understand diversion rates, reducing  landfill contributions and highlighting opportunities for  further improvement. | [Page 90] The effective implementation of the  waste hierarchy is minimising waste generation and where  possible, diverting waste that is produced away from landfill into  more productive uses.",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/sustainability-report-plc-2024.pdf,137 | 90,PDF,2025.0,2025-04-23T04:58:43.018723
Anglo American Australia (angloamerican),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Mining,"[Page 65] (3)   IFRS COP28 Declaration of Support, 2023: www.ifrs.org/ifrs-sustainability-disclosure-standards-around-the-world/cop28-declaration-of-support/ | [Page 65] In 2023, the ISSB published the first of its two sustainability  standards, IFRS S1 General Requirements for Disclosure  of Sustainability-related Financial Information and IFRS S2  Climate-related Disclosures. | [Page 140] We note the monitoring of company climate-related financial reporting transferred from the Financial  Stability Board to the International Financial Reporting Standards (IFRS) Foundation and International Sustainability Standards  Board (ISSB) in 2024. | [Page 56] – Reviews Anglo American’s annual  sustainability disclosures. | [Page 143] Indicator 10 – Climate-Related Disclosures Sub-indicator 10.1 – The Company has publicly committed to implement  the recommendations of the Task Force on Climate-related Financial  Disclosures (TCFD) or International Sustainability Standards Board (ISSB)  Standards. | [Page 143] Metric 10.1.b – The Company explicitly sign-posts TCFD-aligned or ISSB- aligned disclosures in its annual reporting or publishes them in a TCFD or  ISSB report.",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/sustainability-report-plc-2024.pdf,140 | 56 | 65 | 143,PDF,2025.0,2025-04-23T04:58:43.018723
Anglo American Australia (angloamerican),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Mining,Anglo American Metallurgical Coal Pty Ltd (Anglo American Australia) Australia joined un compact on 27-May-21,https://unglobalcompact.org/what-is-gc/participants/146021-Anglo-American-Metallurgical-Coal-Pty-Ltd,49 | 50 | 134 | 3,PDF,2025.0,2025-04-23T04:58:43.018723
Anglo American Australia (angloamerican),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Mining,"[Page 21] Women in management Target: 33% by 2023 | [Page 21] Women in management (B5 and above) (%) 35 34 32 31 27 2024 2023 2022 2021 2020 | [Page 46] Women in senior management (CE EoR)  34%   29%  g ( 5 and above)  35%   34%  Women as % of total workforce  26%   26%  Employees below 30 years of age   10%   11%  Employees between 30–50 years of age   73%   70%  Employees more than 50 years of age  17%   19%  Historically disadvantaged  South Africans in management  (% of South African management)  86%   85%  Voluntary turnover  4.3%   3.5%  Involuntary turnover  3.3%   7.6%  u For more on our Board Diversity See page 166 of our Integrated Annual Report 2024 u See more on our sustainability data here:  angloamerican.com/sustainabilitydata Targets and progress By the end of 2024, we exceeded our consolidated target  of 33% female representation across the business for our  management population*, reaching 35%. | [Page 21] Women in workforce Women as a percentage of total workforce 26 26 24 23 23 2024 2023 2022 2021 2020 | [Page 47] We are proud of  achieving our target of 33% by reaching 35% women in  leadership by 2024 and we are now committed to achieving  40% female representation in leadership by end of 2030. | [Page 46] In addition, in regard  to female representation on the Executive Leadership Team  (ELT) we achieved 25%.",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/sustainability-report-plc-2024.pdf,47 | 21 | 46,PDF,2025.0,2025-04-23T04:58:43.018723
Anglo American Australia (angloamerican),AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all","In your organization, what percentage of annual energy usage is derived from renewable energy (clean fuels and technology)?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S002,Q002,Mining,"[Page 73] On this basis, approximately 60% of the electricity supply of the  current Anglo American portfolio will be sourced from  renewables from 2025. | [Page 71] However, the additional energy consumption at  Quellaveco has resulted in no increase to our Scope 2  emissions in 2024, as the operation was supplied by 100%  renewable-energy sources by 2023. | [Page 73] Total Scope 1 and 2 emissions (Mt CO2e) 0.6 1.0 4.2 0.4 4.1 1.2 ò Copper ò PGMs ò Iron Ore ò Diamonds ò Polyhalite ò Steelmaking Coal ò Nickel Scope 2 – powered by renewables In 2024, we sourced 57% of our electricity from renewable  sources. | [Page 61] 2030: Reduce net greenhouse gas emissions by 30% and improve energy  efficiency by 30%, against the 2016 baseline. | [Page 71] Compared with 2019, when our emissions peaked, we have  delivered a 31% reduction in our total Scope 1 and 2 emissions  (2019: 16.8",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/sustainability-report-plc-2024.pdf,71 | 25 | 73 | 61,PDF,2025.0,2025-04-23T04:58:43.018723
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Health Care And Social Assistance,,,,,,
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Health Care And Social Assistance,,,,,,
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Health Care And Social Assistance,,,,,,
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Health Care And Social Assistance,"[Page 33] Gender  59.4% Female  40.6% Male Figure 51. | [Page 37] Gender  50.6% Female  49.3% Male Figure 61. | [Page 29] Gender  98.8% Female  1.2% Male Figure 41. | [Page 41] Gender  63.5% Female  36.5% Male Figure 71. | [Page 96] Work that Ahpra will do to address the pay disparities  includes: •	 identifying opportunities to increase participation  rates of females in traditionally male-occupied  roles such as IT •	 improving workplace policies, such as  flexible working policies, to promote greater  opportunities to balance work and non-work  commitments •	 promoting opportunities for enhanced base- pay rates as part of the offer process for female  candidates for senior roles. | [Page 28] Gender   98.5% Female  1.5% Male Snapshot nurses 504,049 nurses (including those also registered  as midwives) •	 Up 5.0% from 2022/23 •	 54.8% of all registered health practitioners 38,816 first-time registrants •	 22,194 domestic (including new graduates) •	 16,622 international 1.5% identified as Aboriginal and/or Torres Strait  Islander (including those also registered as midwives) Figure 35.",https://www.ahpra.gov.au/documents/default.aspx?record=WD24/34233&dbid=AP&chksum=xoPTWRKlV3mpl0kF4EtGBw%3d%3d,28 | 33 | 37 | 41 | 29 | 96,PDF,nan,2025-04-16T22:26:24.290583
Australian Health Practitioner Regulation Agency (AHPRA),AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all","In your organization, what percentage of annual energy usage is derived from renewable energy (clean fuels and technology)?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S002,Q002,Health Care And Social Assistance,,,,,,
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Health Care And Social Assistance,,,,,,
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Health Care And Social Assistance,,,,,,
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Health Care And Social Assistance,,,,,,
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Health Care And Social Assistance,,,,,,
Australian Healthcare and Hospitals Association (AHHA),AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all","In your organization, what percentage of annual energy usage is derived from renewable energy (clean fuels and technology)?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S002,Q002,Health Care And Social Assistance,[Page 22] Projects include:  SVHNS Environmental Sustainability P lan (ESP) 2024-2026:  The collaborativ e development of a comprehensive strate gy to become an environmentally sust ainable organisation and achieve  net zero carbon emissions by 2050.,https://ahha.asn.au/wp-content/uploads/2024/09/AHHA-Annual-Report-2023-24.pdf,22,PDF,2024.0,2025-04-16T22:26:08.441084
BHP,AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Mining,"[Page 61] agricultural waste feedstocks) 	 – Higher land-use and agriculture productivity required to  accommodate nature-based carbon removals, distributed  power sector and growing low to zero GHG emission  fuel sectors 	 – Bioenergy feedstock evolution 	 – Precision agriculture technological development 	 – Developments that would allow for lower land footprint  for the energy transition, such as negative GHG emission  technologies Circularity 	 – Food waste, vegetarianism and veganism assumptions  consistent with historical levels 	 – Behavioural trends as they relate to food waste and  vegetarianism and veganism Table 8.6: Macroeconomic assumptions and carbon budget in our 1.5°C scenario Value Population 0.7% compound annual growth rate from CY2021 to CY2050",https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpclimatetransitionactionplan2024.pdf,23 | 35 | 68 | 61,PDF,2024.0,2025-04-23T05:45:46.808122
