Organization,Country,SDG Goal,SDG Question,Answer Options,SDG Goal ID,SDG Ques ID,Industry,Filtered Content,URL,Page number,Document Type,Publication Date,Last updated Date
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Health Care And Social Assistance,"[Page 78] How monitoring works Compliance 78 Ahpra and the National Boards annual report 2023/24 | [Page 76] We then monitor the practitioner’s compliance by  Compliance 76 Ahpra and the National Boards annual report 2023/24 | [Page 49] Cultural safety in  accreditation ABSTARR Consulting completed the development  of Aboriginal and Torres Strait Islander cultural  safety training specifically for accreditation  assessors within the National Scheme. | [Page 47] The accreditation authority for each profession can be an external council or a committee of the  National Board. | [Page 101] Corporate compliance  management Ahpra’s approach to compliance management is based  on AS ISO 37301:2023 Compliance management systems  – Requirements with guidance for use. | [Page 49] 49 Ahpra and the National Boards annual report 2023/24 Funding Nine National Boards exercise accreditation functions  through external councils. | [Page 101] 101 Ahpra and the National Boards annual report 2023/24 Corporate risk, compliance and assurance Risk management Risk exposure is managed in accordance with the  Australian and New Zealand Standard (AS/NZS ISO  31000:2018). | [Page 49] Assessors will be able to use and  interpret the accreditation standards applying to  cultural safety to accredit and monitor programs  of study for the regulated health professions;  guide and compel education providers, and their  educators and supervisors, to provide culturally  safe training; and ultimately help students  and supervisors to contribute to culturally  safe patient care.",https://www.ahpra.gov.au/documents/default.aspx?record=WD24/34233&dbid=AP&chksum=xoPTWRKlV3mpl0kF4EtGBw%3d%3d,101 | 47 | 76 | 78 | 49,PDF,nan,2025-04-16T22:26:24.290583
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Health Care And Social Assistance,[Page 93] Organisation | [Page 94] Organisation | [Page 98] Organisation | [Page 101] Organisation | [Page 100] Organisation | [Page 2] 91 Organisation...........................................93 Communications ......................................................... | [Page 2] 46 Accreditation .........................................47 Leadership and collaboration  to address emerging risk ......................50 Registration............................................51 Who can be registered?..............................................,https://www.ahpra.gov.au/documents/default.aspx?record=WD24/34233&dbid=AP&chksum=xoPTWRKlV3mpl0kF4EtGBw%3d%3d,100 | 101 | 98 | 94 | 2 | 93,PDF,nan,2025-04-16T22:26:24.290583
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Health Care And Social Assistance,"[Page 35] To support this initiative, a new partnership was  established between academic researchers from  Wiser Healthcare, HEAL, and NSW Health’s Climate  Risk and Net Zero Unit to support intervention  design and evaluation of the sustainability projects. | [Page 56] Enabling hospital and healthcare leaders  to advance on their sustainability journey Sustainability Accelerator Tool (SAT) www.gscaccelerator.org Go sustainable with the SAT Understand current maturity level in terms of sustainability. | [Page 24] 5 VHBA, 2024, Sustainability guidelines for sustainability in capital  works, https://www.vhba.vic.gov.au/guidelines-sustainability-capital- works 6 Scialpi G, Declercq J. | [Page 19] Non-Government Organisation Numerous non-government and professional organizations are engaging with  policymakers to develop and implement sustainability strategies. | [Page 44] Along this line, the Australian  Commission on Safety and Quality in Health Care  has piloted an ‘Environmental Sustainability and  Climate Resilience’ module across almost 50 hospital  sites across the country with a view to informing  the next edition of the National Safety and Quality  Health Service Standards (mandatory accreditation  standards) due in 2027. | [Page 51] Celebrating climate action and solutions  Last year, NSW Health introduced a new  Environmental Sustainability Award category to the  annual NSW Health Awards*. | [Page 19] Professional Organisations Most medical colleges and dental associations have adopted policies supporting  sustainability actions. | [Page 15] A different organisation may take a ‘top  down’ approach with organisational leadership  establishing a chief sustainability officer (action  5), who can lead measurement, monitoring and  evaluation efforts (action 4), which can then inform  the organisation’s performance (action 6).",https://ahha.asn.au/wp-content/uploads/2024/11/The-Health-Advocate-November-2024.pdf,44 | 35 | 24 | 15 | 19 | 56 | 51,PDF,2024,2025-04-16T22:26:15.568637
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Health Care And Social Assistance,"[Page 20] The establishment of the National  Health Sustainability and Climate Unit offers a  significant opportunity for national leadership  and coordination in achieving low-carbon,  environmentally sustainable healthcare.” Unsplash",https://ahha.asn.au/wp-content/uploads/2024/11/The-Health-Advocate-November-2024.pdf,20,PDF,2024,2025-04-16T22:26:15.568637
BHP,AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Mining,"[Page 80] This includes the EU’s Corporate Sustainability  Reporting Directive (CSRD), and a growing number of jurisdictions have  announced an intention to adopt the IFRS Sustainability Disclosure  Standards developed by the International Sustainability Standards Board  (ISSB). | [Page 32] For information on our approach to social value, including the  aspirational goals and associated metrics we have set for ourselves,  refer to OFR 6.5 For information on our governance of sustainability, including the  FY2024 improvement project for our internal Group-wide standards,  refer to OFR 6.3 There are a number of voluntary global sustainability frameworks,  standards, benchmarks and initiatives that we seek to comply with. | [Page 251] Sustainability (including sustainable and  sustainably)  We describe our approach to  sustainability and its governance in this Report,  including OFR 6. | [Page 34] The findings  of this assessment help us determine the information our stakeholders are  seeking and therefore the material sustainability topics for disclosure in  OFR 6. | [Page 54] For more information on our social value and sustainability‑related goals, metrics and milestones refer to OFR 6 Sustainability   beginning on page 29 in this Report The role of our commodities in the transition We continue to engage with investors, industry and standard setters to explore ways of establishing clear methodologies for classification and measurement  of ‘green revenue’1 and associated capital expenditure within the resources sector. | [Page 250] IFRS (International Financial Reporting  Standards)  Accounting standards as issued by  the International Accounting Standards Board. | [Page 32] During FY2024, the trend towards mandatory  sustainability-related reporting frameworks increased, and we continue to  monitor these developments for their potential application to BHP, including  the proposed Australian Sustainability Reporting Standards (ASRS),  the EU Corporate Sustainability Reporting Directive (CSRD) and the EU  Corporate Sustainability Due Diligence Directive (CSDDD). | [Page 32] For information on our engagement with climate-specific regulatory  developments refer to OFR 6.9 In FY2024, we continued our commitment to a number of responsible  production and sourcing standards, which require self-assessment and  third-party verification of management systems and performance at an  asset, operation or facility level.",https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf,54 | 80 | 34 | 251 | 250 | 32,PDF,2024,2025-04-23T05:46:08.294950
BHP,AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Mining,"[Page 21] Non-operated assets Our non-operated assets, like Samarco and Antamina,  have their own operating and management standards. | [Page 249] (United  Nations et al. | [Page 51] Organisational capability We conduct periodic capability reviews across our  business for roles with climate-related accountabilities  to help us design and deliver training to support  capability improvement. | BHP Group Limited Australia joined un compact on 21-Jul-03",https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpclimatetransitionactionplan2024.pdf | https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf | https://unglobalcompact.org/what-is-gc/participants/1306-BHP-Group-Limited,249 | 21 | 51,PDF,2024,2025-04-23T05:45:46.808122
Baxter Professional Australia (baxter),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Manufacturing,"[Page 31] LRQA’s standards, competence and independence LRQA implements and maintains a comprehensive management  system that meets accreditation requirements for ISO 14065  Greenhouse gases – Requirements for greenhouse gas validation  and verification bodies for use in accreditation or other forms  of recognition and ISO/IEC 17021 Conformity assessment –  Requirements for bodies providing audit and certification of  management systems that are at least as demanding as the  requirements of the International Standard on Quality Control 1 and  comply with the Code of Ethics for Professional Accountants issued  by the International Ethics Standards Board for Accountants. | [Page 58] The team has more than  20 years combined experience in this field and an excellent  understanding of Apex’s standard methodology for the assurance  of sustainability-related assertions. | [Page 30] The team has more than  20 years combined experience in this field and an excellent  understanding of Apex’s standard methodology for the assurance  of sustainability-related assertions. | [Page 35] Appendix: Sustainability Accounting Standards Board Index (continued) From the Chair,  President and CEO Company Profile Corporate Responsibility  Commitment 2030 Corporate  Responsibility Goals Cross-Cutting  Commitments Appendix | [Page 29] The assessment covers environment,   labor and human rights, ethics, and sustainable  procurement. | [Page 36] FACILITIES WITH ISO 14001, ISO 45001, ISO 50001 AND GREEN BUILDING CERTIFICATIONS 1	 As of Dec. | [Page 45] FACILITIES WITH ISO 14001, ISO 45001, ISO 50001 AND GREEN BUILDING CERTIFICATIONS 1	 As of Dec. | [Page 6] For example, since 2019, we have  published an annual Sustainability Accounting  Standards Board (SASB) Index in alignment  with the Medical Equipment and Supplies  Sustainability Accounting Standard.",https://www.baxter.com/sites/g/files/ebysai3896/files/2022-06/Baxter_2021_Corporate_Responsibility_Report.pdf | https://www.baxter.com/sites/g/files/ebysai3896/files/2023-06/2022_Baxter_Corporate_Responsibility_Report.pdf | https://www.baxter.com/sites/g/files/ebysai3896/files/2024-07/2023_Baxter_Corporate_Responsibility_Report.pdf,29 | 30 | 36 | 58 | 6 | 35 | 31 | 45,PDF,2024,2025-04-23T05:02:35.496292
Baxter Professional Australia (baxter),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Manufacturing,"[Page 31] LRQA’s standards, competence and independence LRQA implements and maintains a comprehensive management  system that meets accreditation requirements for ISO 14065  Greenhouse gases – Requirements for greenhouse gas validation  and verification bodies for use in accreditation or other forms  of recognition and ISO/IEC 17021 Conformity assessment –  Requirements for bodies providing audit and certification of  management systems that are at least as demanding as the  requirements of the International Standard on Quality Control 1 and  comply with the Code of Ethics for Professional Accountants issued  by the International Ethics Standards Board for Accountants. | [Page 36] FACILITIES WITH ISO 14001, ISO 45001, ISO 50001 AND GREEN BUILDING CERTIFICATIONS 1	 As of Dec. | [Page 45] FACILITIES WITH ISO 14001, ISO 45001, ISO 50001 AND GREEN BUILDING CERTIFICATIONS 1	 As of Dec. | [Page 50] We maintain corporate memberships with many  organizations that promote and certify diverse  suppliers, such as Disability:IN, National Gay and  Lesbian Chamber of Commerce (NGLCC), NMSDC,  Chicago NMSDC, Puerto Rico Minority Supplier  Development Council and Women’s Business  Enterprise National Council. | [Page 12] Our Global Energy Program, certified to  ISO 50001, applies this standard to the company’s facility-level  energy management systems (some of which are also certified  individually). | [Page 51] We align with and/or have obtained certifications for the following  internal systems, products and services. | [Page 64] BAXTER FACILITIES WITH ISO 14001, ISO 45001, ISO 50001 AND GREEN BUILDING CERTIFICATIONS 1	As of Dec. | [Page 51] PRODUCTS PrisMax v3 DCM v1.3.5 •	 UL 2900 Certification SERVICES Sharesource connectivity platform  •	 ISO 27001 Certification •	 French HDH Certification Novum IQ Dose IQ Corporate Responsibility Commitment Introduction 2030 Corporate  Responsibility Goals Empower   Our Patients Protect   Our Planet Champion Our People  and Communities Appendix Cross-Cutting  Commitments * Not all products listed are available in all or any geographies and proposed certifications for these products may be subject to change prior to regulatory approval or launch.",https://www.baxter.com/sites/g/files/ebysai3896/files/2022-06/Baxter_2021_Corporate_Responsibility_Report.pdf | https://www.baxter.com/sites/g/files/ebysai3896/files/2023-06/2022_Baxter_Corporate_Responsibility_Report.pdf | https://www.baxter.com/sites/g/files/ebysai3896/files/2024-07/2023_Baxter_Corporate_Responsibility_Report.pdf,12 | 64 | 36 | 31 | 50 | 45 | 51,PDF,2024,2025-04-23T05:02:35.496292
BossCap,AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Manufacturing,"[Page 9] But as a sustainability leader, it’s  something we are committed to do. | [Page 4] We also launched our  vehicle certification services  to ensure compliance was  within the National industry  standards. | [Page 14] TESTING AND COMPLIANCE We have a range of test gear that can be  used for meeting compliance with the  necessary ADRs. | [Page 14] Certification We look forward to working with you.",https://bosscap.com.au/wp-content/uploads/2024/10/capability_statement_bosscap.pdf,9 | 14 | 4,PDF,2024,2025-04-23T05:03:50.907790
BossCap,AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Manufacturing,[Page 14] Certification We look forward to working with you.,https://bosscap.com.au/wp-content/uploads/2024/10/capability_statement_bosscap.pdf,14,PDF,2024,2025-04-23T05:03:50.907790
Bravus Mining & Resources (adanienterprises),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Mining,[Page 248] Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external agency? | [Page 232] Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external  agency? | [Page 234] Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external  agency? | [Page 246] Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external  agency? | [Page 233] Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external  agency? | [Page 232] Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external  agency? | [Page 246] Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external agency? | [Page 260] Our scope of assurance included verification of data and information on selected  sustainability performance disclosures reported as summarized in the table below:  • Total number of permanent and other than permanent employees.,https://www.adanienterprises.com/-/media/Project/Enterprises/Investors/Investor-Downloads/Annual-Report/AEL-FY24.pdf | https://www.adanienterprises.com/-/media/Project/Enterprises/Investors/Investor-Downloads/Annual-Report/AEL-04-07-22_F.pdf,233 | 246 | 248 | 260 | 232 | 234,PDF,nan,2025-04-23T04:59:19.444358
